match_id,match_date,kick_off,competition_id,competition_name,country_name,season_id,season_name,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,match_week,stadium_name,stadium_country,referee_name,referee_country
18245,2018-05-26,20:45:00.000,16,Champions League,Europe,1,2017/2018,220,Real Madrid,24,Liverpool,3,1,7,NSK Olimpiyskyi,Ukraine,Milorad Mažić,Serbia
18244,2017-06-03,20:45:00.000,16,Champions League,Europe,2,2016/2017,224,Juventus,220,Real Madrid,1,4,7,Principality Stadium,Wales,Felix Brych,Germany
18235,2010-05-22,20:45:00.000,16,Champions League,Europe,21,2009/2010,169,Bayern Munich,238,Inter Milan,0,2,1,Estadio Santiago Bernabéu,Spain,Howard Webb,England
18236,2011-05-28,20:45:00.000,16,Champions League,Europe,22,2010/2011,217,Barcelona,39,Manchester United,3,1,1,Wembley Stadium,England,Viktor Kassai,Hungary
18237,2012-05-19,20:45:00.000,16,Champions League,Europe,23,2011/2012,169,Bayern Munich,33,Chelsea,1,1,1,Allianz Arena,Germany,Pedro Proença,Portugal
18240,2013-05-25,20:45:00.000,16,Champions League,Europe,24,2012/2013,180,Borussia Dortmund,169,Bayern Munich,1,2,1,Wembley Stadium,England,Nicola Rizzoli,Italy
18241,2014-05-24,20:45:00.000,16,Champions League,Europe,25,2013/2014,220,Real Madrid,212,Atlético Madrid,4,1,1,Estádio do Sport Lisboa e Benfica,Portugal,Björn Kuipers,Netherlands
18242,2015-06-06,20:45:00.000,16,Champions League,Europe,26,2014/2015,224,Juventus,217,Barcelona,1,3,1,Olympiastadion Berlin,Germany,Cüneyt Çakιr,Turkey
18243,2016-05-28,20:45:00.000,16,Champions League,Europe,27,2015/2016,220,Real Madrid,212,Atlético Madrid,1,1,1,Stadio Giuseppe Meazza    ,Italy,Mark Clattenburg,England
3888711,1971-06-02,22:45:00.000,16,Champions League,Europe,276,1970/1971,806,Ajax,952,Panathinaikos,2,0,1,Wembley Stadium,England,Jack Taylor,England
3888706,1973-05-30,22:30:00.000,16,Champions League,Europe,277,1972/1973,806,Ajax,224,Juventus,1,0,1,Stadion Rajko Mitić,Serbia,,
2302764,2005-05-25,,16,Champions League,Europe,37,2004/2005,243,AC Milan,24,Liverpool,3,3,1,Atatürk Olimpiyat Stadı,Turkey,,
3750200,2007-05-23,20:45:00.000,16,Champions League,Europe,39,2006/2007,243,AC Milan,24,Liverpool,2,1,1,Olympiako Stadio Spyros Louis,Greece,Herbert Fandel,Germany
22912,2019-06-01,21:00:00.000,16,Champions League,Europe,4,2018/2019,38,Tottenham Hotspur,24,Liverpool,0,2,13,	Estádio Cívitas Metropolitano,Spain,Damir Skomina,Slovenia
3750201,2009-05-27,20:45:00.000,16,Champions League,Europe,41,2008/2009,217,Barcelona,39,Manchester United,2,0,1,Estadio Olímpico,Italy,Massimo Busacca,Switzerland
3752619,2004-05-26,,16,Champions League,Europe,44,2003/2004,129,AS Monaco,256,FC Porto,0,3,1,VELTINS-Arena,Germany,,
3750235,1972-05-31,,16,Champions League,Europe,71,1971/1972,806,Ajax,238,Inter Milan,2,0,13,Stadion Feijenoord,Netherlands,Robert Helies,France
3750240,1999-11-23,,16,Champions League,Europe,76,1999/2000,239,Fiorentina,39,Manchester United,2,0,1,Stadio Artemio Franchi    	,Italy,Bernd Heynemann,Germany
