match_id,match_date,kick_off,competition_id,competition_name,country_name,season_id,season_name,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,match_week,stadium_name,stadium_country,referee_name,referee_country
3888721,1983-06-04,22:15:00.000,87,Copa del Rey,Spain,268,1982/1983,217,Barcelona,220,Real Madrid,2,1,1,Estadio de la Romareda,Spain,José Luis García Carrión,Spain
3888754,1978-04-19,21:00:00.000,87,Copa del Rey,Spain,279,1977/1978,217,Barcelona,208,Las Palmas,3,1,1,Estadio Santiago Bernabéu,Spain,Ángel Franco Martínez,Spain
3750248,1984-05-05,20:15:00.000,87,Copa del Rey,Spain,84,1983/1984,215,Athletic Club,217,Barcelona,1,0,12,Estadio Santiago Bernabéu,Spain,Ángel Franco Martínez,Spain
