match_id,match_date,kick_off,competition_id,competition_name,country_name,season_id,season_name,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,match_week,stadium_name,stadium_country,referee_name,referee_country
3879863,2016-05-08,15:00:00.000,12,Serie A,Italy,27,2015/2016,228,Atalanta,230,Udinese,1,1,37,Gewiss Stadium,Italy,Nicola Rizzoli,Italy
3879773,2016-03-06,16:00:00.000,12,Serie A,Italy,27,2015/2016,291,Frosinone,230,Udinese,2,0,28,Stadio Comunale Matusa,Italy,Nicola Rizzoli,Italy
3879847,2016-04-30,18:00:00.000,12,Serie A,Italy,27,2015/2016,230,Udinese,241,Torino,1,5,36,Dacia Arena,Italy,Maurizio Mariani,Italy
3879862,2016-05-08,20:45:00.000,12,Serie A,Italy,27,2015/2016,241,Torino,227,Napoli,1,2,37,Stadio Olimpico Grande Torino,Italy,Antonio Damato,Italy
3879817,2016-04-16,20:45:00.000,12,Serie A,Italy,27,2015/2016,238,Inter Milan,227,Napoli,2,0,33,Stadio Giuseppe Meazza    ,Italy,Gianluca Rocchi,Italy
3879825,2016-04-17,18:00:00.000,12,Serie A,Italy,27,2015/2016,236,Lazio,290,Empoli,2,0,33,Estadio Olímpico,Italy,Angelo Cervellera,Italy
3879750,2016-02-21,16:00:00.000,12,Serie A,Italy,27,2015/2016,228,Atalanta,239,Fiorentina,2,3,26,Gewiss Stadium,Italy,Domenico Celi,Italy
3879567,2015-10-17,18:00:00.000,12,Serie A,Italy,27,2015/2016,229,AS Roma,290,Empoli,3,1,8,Estadio Olímpico,Italy,Piero Giacomelli,Italy
3879785,2016-03-13,21:45:00.000,12,Serie A,Italy,27,2015/2016,236,Lazio,228,Atalanta,2,0,29,Estadio Olímpico,Italy,Marco Guida,Italy
3879705,2016-01-24,16:00:00.000,12,Serie A,Italy,27,2015/2016,232,Sassuolo,240,Bologna,0,2,21,MAPEI Stadium - Città del Tricolore,Italy,Angelo Cervellera,Italy
3879628,2015-11-28,21:45:00.000,12,Serie A,Italy,27,2015/2016,243,AC Milan,234,Sampdoria,4,1,14,Stadio Giuseppe Meazza    ,Italy,Daniele Doveri,Italy
3879665,2015-12-20,19:00:00.000,12,Serie A,Italy,27,2015/2016,291,Frosinone,243,AC Milan,2,4,17,Stadio Comunale Matusa,Italy,Luca Banti,Italy
3879699,2016-01-24,16:00:00.000,12,Serie A,Italy,27,2015/2016,234,Sampdoria,227,Napoli,2,4,21,Stadio Comunale Luigi Ferraris,Italy,Daniele Orsato,Italy
3879703,2016-01-24,16:00:00.000,12,Serie A,Italy,27,2015/2016,236,Lazio,231,Chievo,4,1,21,Estadio Olímpico,Italy,Gianpaolo Calvarese	,Italy
3879609,2015-11-08,19:00:00.000,12,Serie A,Italy,27,2015/2016,227,Napoli,230,Udinese,1,0,12,Stadio Diego Armando Maradona,Italy,Domenico Celi,Italy
3879653,2015-12-13,21:45:00.000,12,Serie A,Italy,27,2015/2016,224,Juventus,239,Fiorentina,3,1,16,Allianz Stadium    	,Italy,Daniele Orsato,Italy
